Open time,Open,Close,High,Low,Volume,Amount
43095,13699999997,13699999997,13699999997,13699999997,3697792,50659750389
43095,13699999997,13699999997,13699999997,13699999997,54509,7467733
43095,13699999996,13699999996,13699999996,13699999996,1910794,26177877792
43095,133780,13377999997,133780,13377999997,6094606,81533639065
43095,13377999997,13377999997,13377999997,13377999997,4157322,55616653704
43095,13377999997,13377999997,13377999997,13377999997,57999,775910622
43095,13641713016,13641713016,13641713016,13641713016,130349,17781836499
43095,13641713016,13641713016,13641713016,13641713016,1391734,18985635823
43095,13641713016,13641713016,13641713016,13641713016,7063352,96356220917
43095,137000,137000,137000,137000,5604668,767839516
43095,137000,13699999999,137000,13699999999,1173163,160723331
43095,137000,137000,137000,137000,28688,3930256
43095,13699999999,13699999999,13699999999,13699999999,104715,14345955
43095,137000,137000,137000,137000,28814435,3947577595
43095,137000,137000,137000,137000,1328844,182051628
43095,137000,137000,137000,137000,36386861,4984999957
43095,137000,137000,137000,137000,8886,1217382
43095,137000,137000,137000,137000,1012,138644
43095,13699999998,13699999998,13699999998,13699999998,7189781,98499999686
43095,13250000001,13249999997,13250000001,13249999997,17312886,229395739461
43095,13300000001,13300000001,13300000001,13300000001,1,13300000001
43095,133000,133000,133000,133000,228088,30335704
43095,131000,131000,133000,131000,30269912,396810229629
43095,130010,130010,130010,130010,7227027,93958578027
43095,130000,130000,130000,130000,1,1300
43095,130000,130000,130000,130000,704,9152
43095,13299999993,13299999993,13299999993,13299999993,315789,4199993698
43095,130000,130000,130000,130000,423498,5505474
43095,130500,130500,130500,130500,2,26100
43095,13060999981,13060999981,13060999981,13060999981,28688,374693967455
43095,131000,131000,131000,131000,6,7860
43095,131000,131000,131000,131000,5206106,681999886
43095,131000,131000,131000,131000,576838,75565778
43095,13299999998,13299999998,13299999998,13299999998,8E-05,1064
43095,13299999998,13299999998,13299999998,13299999998,15,19949999997
43095,13299999997,13299999997,13299999997,13299999997,15,199499999955
43095,133000,133000,133000,133000,8E-05,1064
43095,130110,130110,130110,130110,594619,7736587809
43095,130110,130110,130110,130110,595152,7743522672
43095,13299999998,13299999998,13299999998,13298999995,904206,1202532493977
43095,13299999998,13299999998,13299999998,13299999998,230924,30712891995
43095,1329999999,1329999999,1329999999,1329999999,49996,6649468
43095,1329999999,1329999999,1329999999,1329999999,363414,48334061964
43095,131500,131510,131510,131500,28688,3772522
43095,131750,131750,131750,131750,12,15810
43095,131750,131750,131750,131750,16688,2198644
43095,131750,131750,131750,131750,5955568,784646084
43095,131000,131500,131500,131000,1301502,170562362
43095,131990,131990,131990,131990,2564551,33849508649
43095,13198999998,13198999998,13198999998,13198999998,28688,378652911943
43095,13299999996,13299999996,13299999996,13299999996,1661178,22093667393
43095,13657294102,13657294102,13657294102,13657294102,4837752,66070601857
43095,136572941,13657294109,13657294109,136572941,55221557,754177044833
43095,138000,138000,138000,138000,1691882,233479716
43095,138000,138000,138000,138000,1588038,219149244
43095,138000,138000,138000,138000,53399,7369062
43095,138000,138000,138000,138000,494285,6821133
43095,138000,138000,138000,138000,2038003,281244414
43095,138000,138000,138000,138000,1501623,207223974
43095,138000,138000,138000,138000,1480441,204300858
43095,13199000006,13199000006,13199000006,13199000006,06032,79616368
43095,13200000002,13200000002,13200000002,13200000002,11239,1483548
43095,13999999997,13999999997,13999999997,13999999997,05681,79534
43095,13201000002,13201000002,13201000002,13201000002,24285,320586285
43095,13999999994,13999999994,13999999994,13999999994,2887841,40429773984
43095,13999999994,13999999994,13999999994,13999999994,5463172,76484407969
43095,13999999994,140000,140000,13999999994,4479503,62713041988
43095,140000,140000,140000,140000,28480216,398723024
43095,13700000001,13700000001,13700000001,13700000001,5566284,76258090805
43095,145000,145000,145000,145000,68965,9999925
43095,144990,144990,144990,144990,16705,242205795
43095,144990,144990,144990,144990,683295,9907094205
43095,145000,145000,145000,145000,531035,77000075
43095,145000,145000,145000,145000,2227905,323046225
43095,145000,145000,145000,145000,141194,2047313
43095,145000,145400,145400,145000,3755198,5459775504
43095,145500,145500,145500,145500,911088,132563304
43095,145500,145500,145500,145500,4047694,588939477
43095,145500,145500,145500,145500,1600471,2328685305
43095,145500,145500,145500,145500,1728639,2515169745
43095,145500,145500,145500,145500,1344497,1956243135
43095,145500,145500,145500,145500,12991488,1890261504
43095,145000,145500,145500,145000,85347,1240427
43095,145500,145500,145500,145500,14477,21064035
43095,148570,148570,148570,148570,178323,2649344811
43095,148580,148580,148580,148580,28688,426246304
43095,149340,149340,149340,149340,388549,5802590766
43095,149340,149340,149340,149340,2813329,42014255286
43095,149300,149340,149340,149300,1191976,17800911732
43095,149340,153780,153780,149340,215563,32289532796
43095,153780,153780,153780,153780,6754337,103868194386
